Restaurant_id,hours_open_sunday,hours_open_monday,hours_open_tuesday,hours_open_wednesday,hours_open_thursday,hours_open_friday,hours_open_saturday,hours_close_sunday,hours_close_monday,hours_close_tuesday,hours_close_wednesday,hours_close_thursday,hours_close_friday,hours_close_saturday
dak-and-bop-houston,1700,1700,1700,1700,1130,1130,1130,2200,2200,2200,2200,2200,2200,1530
govindas-vegetarian-cuisine-houston,1700,1700,1700,1700,1700,1700,1700,2100,2100,2100,2100,2100,2100,2100
mala-sichuan-bistro-houston,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2200,2200,2200
argentina-cafe-houston,1000,1000,1000,1000,1000,1000,1100,2100,2100,2100,2100,2100,2100,2000
the-nickel-sandwich-grill-houston,1100,1100,1100,1100,1100,1100,,1900,1900,1900,1900,1900,1700,
oporto-café-houston-2,1100,1100,1100,1100,1100,1600,1600,2300,2300,2300,2300,2300,2300,2200
relish-restaurant-and-bar-houston,1100,1100,1100,1100,1100,1730,,2100,2100,2100,2100,2200,2200,
m-and-m-hamburger-houston,1030,1030,1030,1030,1030,1030,,2000,2000,2000,2000,2000,2000,
aladdin-mediterranean-cuisine-houston,1030,1030,1030,1030,1030,1100,1100,2200,2200,2200,2200,2200,2200,2100
the-burger-joint-houston-10,1100,1100,1100,1100,1100,1100,1100,0000,0000,0000,0000,0400,0400,0000
piada-italian-street-food-houston-2,1045,1045,1045,1045,1045,1045,1045,2200,2200,2200,2200,2200,2200,2200
hungrys-houston-2,1100,1100,1100,1100,1100,0900,0900,2200,2200,2200,2200,2200,2200,2200
sozo-sushi-and-lounge-houston,1100,1100,1100,1100,1100,1200,1200,2200,2200,2200,2200,2300,2300,2200
best-donuts-houston-3,0430,0430,0430,0430,0430,0430,0430,1300,1300,1330,1330,1330,1330,1330
house-of-hoopz-bbq-and-crawfish-houston-3,1830,1830,1700,1800,1100,1200,1100,2200,2200,2200,2300,0000,0000,2200
holy-smokes-bar-b-que-houston,,,1100,1100,1100,1100,,,,1500,1500,1800,1600,
888-chinese-restaurant-houston-2,1000,1000,1000,1000,1000,1100,1100,2300,2300,2300,2300,2300,0000,0000
boombox-taco-houston,,1800,2000,1800,2000,1800,,,0000,0000,0230,0300,0300,
lets-noodle-houston,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2200,2200,2200
lucilles-houston,,1100,1100,1100,1100,1600,1000,,2200,2200,2200,2200,2200,1500
burns-original-bbq-houston,,1030,1030,1030,1030,1030,,,1930,1930,1930,2000,2000,
café-rabelais-houston-2,1800,1800,1800,1800,1800,1800,,2100,2100,2100,2200,2200,2200,
akashi-asian-sushi-cuisine-and-wine-bar-houston-7,1100,1100,1100,1100,1100,1100,1100,2200,2200,2200,2200,2230,2230,2200
super-la-mexicana-houston,0600,0600,0600,0600,0600,0600,0600,2100,2100,2100,2100,2100,2100,2100
the-honeymoon-cafe-and-bar-houston,0700,0700,0700,0700,0700,1000,1000,2200,2200,2200,2300,0200,0200,2200
haabanero-houston,1100,1100,1100,1100,1100,1100,,2000,2000,2000,2000,2000,1400,
asia-market-thai-lao-food-houston-2,1100,1100,1100,1100,1100,1000,1100,2000,2000,2000,2000,2000,2000,2000
gyu-kaku-japanese-bbq-houston,1030,1030,1030,1030,1030,1030,1030,2230,2230,2230,2230,2330,2330,2230
arabella-mediterranean-cuisine-houston,1100,1100,1100,1100,1100,,,1400,1400,1400,1400,1400,,
