Restaurant_id,Review_user,Review_text,Review_url
ye-star-chinese-buffet-college-station,Pamela R.,"How in the world this place hit so many stars is beyond my comprehension. Unless you're into quantity not quality. 

I sampled virtually every entree...",https://www.yelp.com/biz/ye-star-chinese-buffet-college-station?hrid=uMF16wyHC3wr-2s6Vf6LaQ&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
shiraz-shish-kabob-college-station,Juan M.,"WOO Mediterranean food in College Station, middle of Texas! That is fun! I am a big fan of Mediterranean food. My sister took me to this restaurant because...",https://www.yelp.com/biz/shiraz-shish-kabob-college-station?hrid=PdDrSKK1rYubkXpVvCejqA&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
shiraz-shish-kabob-college-station,Liz H.,'Ehhhh' is the first word that comes to mind. I love that they have Vegan & Vegetarian options as there aren't many places in town that do! When you walk in...,https://www.yelp.com/biz/shiraz-shish-kabob-college-station?hrid=kAbaMJfjLStuPWnp8xFRZg&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
shiraz-shish-kabob-college-station,Ngoc H.,"Undoubtedly the best middle eastern/Mediterranean restaurant in College Station. 

We came in around 8PM on a Wednesday to pick up dinner to-go and there...",https://www.yelp.com/biz/shiraz-shish-kabob-college-station?hrid=k1njFw7cam09aiix7nsExw&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
yummi-yummi-mongolian-grill-and-sushi-college-station,Hayley R.,"My absolute favorite restaurant in the area. My boyfriend and I come here often to take advantage on the all day happy hour on Monday's. 

I recommend the...",https://www.yelp.com/biz/yummi-yummi-mongolian-grill-and-sushi-college-station?hrid=BgyTSgaOp_vVy925HlkDeQ&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
yummi-yummi-mongolian-grill-and-sushi-college-station,Tannah B.,"Well, a few complaints (which are out of the ordinary because I love this place). I went here with my boyfriend recently and there's a new guy working. My...",https://www.yelp.com/biz/yummi-yummi-mongolian-grill-and-sushi-college-station?hrid=e1_j89X9vEWBQJ3XBgHmBA&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
yummi-yummi-mongolian-grill-and-sushi-college-station,Jasmine Y.,"I've heard pretty good things about this place but I was hesitant about trying it out because it's basically just very white washed Asian food, which is...",https://www.yelp.com/biz/yummi-yummi-mongolian-grill-and-sushi-college-station?hrid=p0HZwQuVMyBqHrKynUqdgw&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
urban-bricks-pizza-college-station,Josh N.,"Awesome addition to B/CS
Food: Great pizzas fast. Lots of toppings included in the $8.99 price. They have the bake down nicely. We had one pizza loaded with...",https://www.yelp.com/biz/urban-bricks-pizza-college-station?hrid=0DTknKt0CeiLXbwZn-l42g&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
urban-bricks-pizza-college-station,Jasmine Z.,"Update! 
7/26/17
Boyfriend and I decided to try this place again and we were disappointed again. We walked in and had forgotten how the line was set up...",https://www.yelp.com/biz/urban-bricks-pizza-college-station?hrid=p-jktKC_NbtnYUgkKRef5A&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
urban-bricks-pizza-college-station,Stephen M.,"So these guys have only been here for a few months... And it looks like they are killing it... You can feel that the inside is still brand-new..

The...",https://www.yelp.com/biz/urban-bricks-pizza-college-station?hrid=PzgiatLmLVwgs7kkdAxazQ&adjust_creative=2Slx3F97ZFV4IU3uImzXaw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_reviews&utm_source=2Slx3F97ZFV4IU3uImzXaw
